"type","account-number","description"
"CAPIT","1","Fonds propres, provisions pour risques et charges et dettes à plus d'un an"
"IMMO","2","Frais d'établissement. Actifs immobilisés et créances à plus d'un an"
"STOCK","3","Stock et commandes en cours d'exécution"
"THIRDPARTY","4","Créances et dettes à un an au plus"
"FINAN","5","Placement de trésorerie et de valeurs disponibles"
"EXPENSE","6","Charges"
"INCOME","7","Produits"
"CAPIT","101","Capital"
"CAPIT","105","Ecarts de réévaluation"
"CAPIT","1061","Réserve légale"
"CAPIT","1063","Réserves statutaires ou contractuelles"
"CAPIT","1064","Réserves réglementées"
"CAPIT","1068","Autres réserves"
"CAPIT","108","Compte de l'exploitant"
"CAPIT","12","Résultat de l'exercice"
"CAPIT","145","Amortissements dérogatoires"
"CAPIT","146","Provision spéciale de réévaluation"
"CAPIT","147","Plus-values réinvesties"
"CAPIT","148","Autres provisions réglementées"
"CAPIT","15","Provisions pour risques et charges"
"CAPIT","16","Emprunts et dettes assimilees"
"IMMO","20","Immobilisations incorporelles"
"IMMO","201","Frais d'établissement"
"IMMO","206","Droit au bail"
"IMMO","207","Fonds commercial"
"IMMO","208","Autres immobilisations incorporelles"
"IMMO","21","Immobilisations corporelles"
"IMMO","23","Immobilisations en cours"
"IMMO","27","Autres immobilisations financieres"
"IMMO","280","Amortissements des immobilisations incorporelles"
"IMMO","281","Amortissements des immobilisations corporelles"
"IMMO","290","Provisions pour dépréciation des immobilisations incorporelles"
"IMMO","291","Provisions pour dépréciation des immobilisations corporelles"
"IMMO","297","Provisions pour dépréciation des autres immobilisations financières"
"STOCK","31","Matieres premières"
"STOCK","32","Autres approvisionnements"
"STOCK","33","En-cours de production de biens"
"STOCK","34","En-cours de production de services"
"STOCK","35","Stocks de produits"
"STOCK","37","Stocks de marchandises"
"STOCK","391","Provisions pour dépréciation des matières premières"
"STOCK","392","Provisions pour dépréciation des autres approvisionnements"
"STOCK","393","Provisions pour dépréciation des en-cours de production de biens"
"STOCK","394","Provisions pour dépréciation des en-cours de production de services"
"STOCK","395","Provisions pour dépréciation des stocks de produits"
"STOCK","397","Provisions pour dépréciation des stocks de marchandises"
"THIRDPARTY","400","Fournisseurs et Comptes rattachés"
"THIRDPARTY","409","Fournisseurs débiteurs"
"THIRDPARTY","410","Clients et Comptes rattachés"
"THIRDPARTY","419","Clients créditeurs"
"THIRDPARTY","421","Personnel"
"THIRDPARTY","428","Personnel"
"THIRDPARTY","43","Sécurité sociale et autres organismes sociaux"
"THIRDPARTY","444","Etat - impôts sur bénéfice"
"THIRDPARTY","445","Etat - Taxes sur chiffre affaires"
"THIRDPARTY","447","Autres impôts, taxes et versements assimilés"
"THIRDPARTY","45","Groupe et associes"
"THIRDPARTY","455","Associés"
"THIRDPARTY","46","Débiteurs divers et créditeurs divers"
"THIRDPARTY","47","Comptes transitoires ou d'attente"
"THIRDPARTY","481","Charges à répartir sur plusieurs exercices"
"THIRDPARTY","486","Charges constatées d'avance"
"THIRDPARTY","487","Produits constatés d'avance"
"THIRDPARTY","491","Provisions pour dépréciation des comptes de clients"
"THIRDPARTY","496","Provisions pour dépréciation des comptes de débiteurs divers"
"FINAN","50","Valeurs mobilières de placement"
"FINAN","51","Banques, établissements financiers et assimilés"
"FINAN","53","Caisse"
"FINAN","54","Régies d'avance et accréditifs"
"FINAN","58","Virements internes"
"FINAN","590","Provisions pour dépréciation des valeurs mobilières de placement"
"EXPENSE","60","Achats"
"EXPENSE","603","Variations des stocks"
"EXPENSE","61","Services extérieurs"
"EXPENSE","62","Autres services extérieurs"
"EXPENSE","63","Impôts, taxes et versements assimiles"
"EXPENSE","641","Rémunérations du personnel"
"EXPENSE","644","Rémunération du travail de l'exploitant"
"EXPENSE","645","Charges de sécurité sociale et de prévoyance"
"EXPENSE","646","Cotisations sociales personnelles de l'exploitant"
"EXPENSE","65","Autres charges de gestion courante"
"EXPENSE","66","Charges financières"
"EXPENSE","67","Charges exceptionnelles"
"EXPENSE","681","Dotations aux amortissements et aux provisions"
"EXPENSE","686","Dotations aux amortissements et aux provisions"
"EXPENSE","687","Dotations aux amortissements et aux provisions"
"EXPENSE","691","Participation des salariés aux résultats"
"EXPENSE","695","Impôts sur les bénéfices"
"EXPENSE","697","Imposition forfaitaire annuelle des sociétés"
"EXPENSE","699","Produits"
"INCOME","701","Ventes de produits finis"
"INCOME","706","Prestations de services"
"INCOME","707","Ventes de marchandises"
"INCOME","708","Produits des activités annexes"
"INCOME","709","Rabais, remises et ristournes accordés par l'entreprise"
"INCOME","713","Variation des stocks"
"INCOME","72","Production immobilisée"
"INCOME","73","Produits nets partiels sur opérations à long terme"
"INCOME","74","Subventions d'exploitation"
"INCOME","75","Autres produits de gestion courante"
"INCOME","753","Jetons de présence et rémunérations d'administrateurs, gérants,..."
"INCOME","754","Ristournes perçues des coopératives"
"INCOME","755","Quotes-parts de résultat sur opérations faites en commun"
"INCOME","76","Produits financiers"
"INCOME","77","Produits exceptionnels"
"INCOME","781","Reprises sur amortissements et provisions"
"INCOME","786","Reprises sur provisions pour risques"
"INCOME","787","Reprises sur provisions"
"INCOME","79","Transferts de charges"
